time	I(L1)
Step Information: X=220  (Step: 1/5)
1.117403637505618e-02	2.787306e-03
1.149630200005617e-02	3.203830e-03
1.184786450005616e-02	3.600648e-03
1.219942700005616e-02	3.945106e-03
1.255098950005615e-02	4.244113e-03
1.290255200005614e-02	4.503666e-03
1.325411450005613e-02	4.728971e-03
1.360567700005613e-02	4.924547e-03
1.395723950005612e-02	5.094318e-03
1.430880200005611e-02	5.241686e-03
1.466036450005610e-02	5.369610e-03
1.500000100000000e-02	5.477164e-03
1.500000200000000e-02	5.477163e-03
1.532442800005619e-02	4.806836e-03
1.564669362505619e-02	4.222070e-03
1.596895925005620e-02	3.708442e-03
1.629122487505621e-02	3.257299e-03
1.661349050005622e-02	2.861039e-03
1.693575612505624e-02	2.512985e-03
1.725802175005625e-02	2.207272e-03
1.758028737505626e-02	1.938751e-03
1.790255300005627e-02	1.702896e-03
1.822481862505628e-02	1.495734e-03
1.854708425005630e-02	1.313773e-03
1.886934987505631e-02	1.153949e-03
1.919161550005632e-02	1.013567e-03
1.951388112505633e-02	8.902638e-04
1.983614675005635e-02	7.819605e-04
2.000000000000000e-02	7.320272e-04
2.000000100000000e-02	7.320282e-04
2.011934887505620e-02	9.888320e-04
2.026583325005621e-02	1.287843e-03
2.044161450005622e-02	1.624145e-03
2.064669262505622e-02	1.987576e-03
2.088106762505623e-02	2.367801e-03
2.117403637505624e-02	2.795315e-03
2.149630200005626e-02	3.210864e-03
2.184786450005627e-02	3.606754e-03
2.219942700005628e-02	3.950407e-03
2.255098950005630e-02	4.248715e-03
2.290255200005631e-02	4.507660e-03
2.325411450005632e-02	4.732438e-03
2.360567700005634e-02	4.927557e-03
2.395723950005635e-02	5.096930e-03
2.430880200005636e-02	5.243954e-03
2.466036450005638e-02	5.371578e-03
2.500000100000000e-02	5.478881e-03
2.500000200000000e-02	5.478880e-03
2.532442800005621e-02	4.808343e-03
2.538302175005621e-02	4.696268e-03
2.570528737505623e-02	4.124953e-03
2.602755300005624e-02	3.623140e-03
2.634981862505625e-02	3.182374e-03
2.667208425005626e-02	2.795229e-03
2.699434987505627e-02	2.455181e-03
2.731661550005629e-02	2.156500e-03
2.763888112505630e-02	1.894156e-03
2.796114675005631e-02	1.663726e-03
2.828341237505632e-02	1.461328e-03
2.860567800005634e-02	1.283553e-03
2.892794362505635e-02	1.127405e-03
2.925020925005636e-02	9.902531e-04
2.957247487505637e-02	8.697858e-04
2.989474050005638e-02	7.639737e-04
2.998263112505639e-02	7.374091e-04
3.000000000000000e-02	7.322567e-04
Step Information: X=1K  (Step: 5/5)
0.000000000000000e+00	0.000000e+00
1.002160000207309e-09	1.258025e-09
6.040797619677501e-06	1.507229e-05
2.416019263871021e-05	5.994616e-05
4.831938599742049e-05	1.191349e-04
7.761626099742049e-05	1.900666e-04
1.362100109974205e-04	3.289408e-04
2.241006359974205e-04	5.297704e-04
3.119912609974205e-04	7.219656e-04
4.291787609974206e-04	9.654334e-04
5.756631359974207e-04	1.250377e-03
7.514443859974209e-04	1.565871e-03
9.565225109974210e-04	1.900557e-03
1.190897510997421e-03	2.243304e-03
1.454569385997421e-03	2.583803e-03
1.718241260997422e-03	2.882245e-03
1.981913135997422e-03	3.143824e-03
2.245585010997420e-03	3.373093e-03
2.509256885997418e-03	3.574044e-03
2.772928760997417e-03	3.750174e-03
3.036600635997415e-03	3.904548e-03
3.300272510997413e-03	4.039855e-03
3.563944385997411e-03	4.158449e-03
3.827616260997410e-03	4.262395e-03
4.091288135997411e-03	4.353501e-03
4.354960010997413e-03	4.433354e-03
4.618631885997415e-03	4.503344e-03
4.882303760997417e-03	4.564689e-03
5.000001000000000e-03	4.589590e-03
5.000002000000001e-03	4.589589e-03
5.265834250056205e-03	4.018568e-03
5.529506125056207e-03	3.522205e-03
5.793178000056209e-03	3.087151e-03
6.056849875056211e-03	2.705835e-03
6.320521750056213e-03	2.371617e-03
6.584193625056215e-03	2.078681e-03
6.847865500056218e-03	1.821928e-03
7.111537375056220e-03	1.596888e-03
7.375209250056222e-03	1.399644e-03
7.638881125056224e-03	1.226764e-03
7.902553000056224e-03	1.075237e-03
8.166224875056218e-03	9.424268e-04
8.429896750056213e-03	8.260207e-04
8.693568625056207e-03	7.239928e-04
8.957240500056201e-03	6.345671e-04
9.220912375056196e-03	5.561870e-04
9.484584250056190e-03	4.874882e-04
9.748256125056184e-03	4.272749e-04
1.000000000000000e-02	3.767191e-04
1.000000100000000e-02	3.767202e-04
1.009005200005620e-02	5.800342e-04
1.017794262505620e-02	7.700683e-04
1.029513012505620e-02	1.010799e-03
1.044161450005619e-02	1.292538e-03
1.061739575005619e-02	1.604485e-03
1.082247387505618e-02	1.935408e-03
1.105684887505618e-02	2.274300e-03
1.132052075005617e-02	2.610971e-03
1.158419262505617e-02	2.906057e-03
1.184786450005616e-02	3.164695e-03
1.211153637505616e-02	3.391386e-03
1.237520825005615e-02	3.590078e-03
1.263888012505615e-02	3.764227e-03
1.290255200005614e-02	3.916866e-03
1.316622387505613e-02	4.050651e-03
1.342989575005613e-02	4.167912e-03
1.369356762505612e-02	4.270688e-03
1.395723950005612e-02	4.360770e-03
1.422091137505611e-02	4.439726e-03
1.448458325005611e-02	4.508929e-03
1.474825512505610e-02	4.569584e-03
1.500000100000000e-02	4.620511e-03
1.500000200000000e-02	4.620510e-03
1.526583425005620e-02	4.045642e-03
1.552950612505619e-02	3.545935e-03
1.579317800005619e-02	3.107951e-03
1.605684987505620e-02	2.724065e-03
1.632052175005621e-02	2.387595e-03
1.658419362505622e-02	2.092686e-03
1.684786550005623e-02	1.834203e-03
1.711153737505624e-02	1.607647e-03
1.737520925005625e-02	1.409074e-03
1.763888112505626e-02	1.235029e-03
1.790255300005627e-02	1.082482e-03
1.816622487505628e-02	9.487762e-04
1.842989675005629e-02	8.315858e-04
